ID,block,frequency,trial,cue,target,targOrient,response,RT
1,1,0,1,centre,incongRight,180,1,0.57816
1,1,0,2,blank,congRight,0,1,0.53022
1,1,0,3,blank,congLeft,0,1,0.461965
1,1,0,4,centre,congLeft,180,1,0.40029
1,1,0,5,upper,congLeft,0,1,0.27731
1,1,0,6,centre,incongRight,180,0,0.36166
1,1,0,7,upper,incongRight,0,1,0.513695
1,1,0,8,blank,congLeft,0,1,0.48047
1,1,0,9,blank,incongLeft,0,1,0.65239
1,1,0,10,centre,incongLeft,180,1,0.54619
1,1,0,11,centre,congLeft,180,1,0.52966
1,1,0,12,centre,congLeft,0,1,0.413605
1,1,0,13,upper,incongLeft,0,1,0.515525
1,1,0,14,centre,incongRight,0,0,0.42868
1,1,0,15,blank,congLeft,180,1,0.433855
1,1,0,16,centre,congRight,0,1,0.46899
1,1,0,17,lower,incongRight,180,1,0.411015
1,1,0,18,centre,congRight,180,1,0.612375
1,1,0,19,lower,incongRight,180,1,0.517245
1,1,0,20,blank,incongLeft,0,1,0.49581
1,1,0,21,lower,incongLeft,180,1,0.449855
1,1,0,22,lower,congRight,180,1,0.361475
1,1,0,23,centre,incongRight,0,1,0.56679
1,1,0,24,upper,incongRight,0,1,0.45378
1,1,0,25,centre,incongLeft,0,1,0.58424
1,1,0,26,blank,incongLeft,180,1,0.679265
1,1,0,27,lower,incongLeft,180,1,0.41264
1,1,0,28,blank,incongRight,180,1,0.579465
1,1,0,29,upper,congRight,0,1,0.34911
1,1,0,30,centre,incongLeft,180,1,0.49689
1,1,0,31,blank,congRight,180,1,0.49527
1,1,0,32,blank,congRight,0,1,0.454805
1,1,0,33,centre,incongLeft,0,1,0.527245
1,1,0,34,lower,congRight,180,1,0.44559
1,1,0,35,centre,congRight,180,1,0.447235
1,1,0,36,blank,incongRight,0,1,0.529885
1,1,0,37,blank,incongLeft,180,1,0.512865
1,1,0,38,lower,congLeft,180,1,0.36924
1,1,0,39,upper,incongLeft,0,1,0.366845
1,1,0,40,lower,congLeft,180,1,0.297175
1,1,0,41,upper,congLeft,0,1,0.302765
1,1,0,42,blank,congRight,180,1,0.447245
1,1,0,43,blank,incongRight,180,1,0.599425
1,1,0,44,blank,congLeft,180,1,0.50096
1,1,0,45,blank,incongRight,0,0,0.379445
1,1,0,46,centre,congRight,0,1,0.40244
1,1,0,47,centre,congLeft,0,1,0.396295
1,1,0,48,upper,congRight,0,1,0.379695
1,2,0,1,lower,congRight,180,1,0.37402
1,2,0,2,upper,congRight,0,1,0.36352
1,2,0,3,blank,incongRight,180,1,0.546355
1,2,0,4,upper,congRight,0,1,0.288645
1,2,0,5,lower,incongLeft,180,0,0.295565
1,2,0,6,blank,incongLeft,180,1,0.564405
1,2,0,7,centre,congLeft,180,1,0.463205
1,2,0,8,blank,incongRight,180,1,0.61493
1,2,0,9,centre,incongRight,0,1,0.54501
1,2,0,10,centre,congRight,180,1,0.362475
1,2,0,11,upper,incongLeft,0,1,0.48167
1,2,0,12,blank,incongLeft,180,1,0.589785
1,2,0,13,centre,congLeft,0,1,0.338505
1,2,0,14,lower,incongRight,180,0,0.282465
1,2,0,15,upper,incongLeft,0,1,0.413455
1,2,0,16,blank,congLeft,0,1,0.479025
1,2,0,17,blank,congLeft,180,1,0.55262
1,2,0,18,centre,congLeft,0,1,0.338655
1,2,0,19,upper,incongRight,0,1,0.45521
1,2,0,20,blank,congRight,0,1,0.47839
1,2,0,21,centre,incongRight,180,1,0.594965
1,2,0,22,centre,congRight,180,1,0.50146
1,2,0,23,lower,congLeft,180,1,0.418065
1,2,0,24,upper,congLeft,0,1,0.31741
1,2,0,25,centre,incongRight,180,1,0.58413
1,2,0,26,centre,congLeft,180,1,0.501635
1,2,0,27,blank,congRight,180,1,0.583595
1,2,0,28,centre,congRight,0,1,0.484715
1,2,0,29,blank,congRight,0,1,0.60192
1,2,0,30,centre,incongLeft,180,0,0.417905
1,2,0,31,centre,incongLeft,0,1,0.568035
1,2,0,32,lower,congLeft,180,1,0.385575
1,2,0,33,blank,congRight,180,1,0.58436
1,2,0,34,upper,congLeft,0,1,0.417395
1,2,0,35,blank,congLeft,180,1,0.51845
1,2,0,36,lower,congRight,180,1,0.38434
1,2,0,37,centre,congRight,0,1,0.518055
1,2,0,38,blank,congLeft,0,1,0.55283
1,2,0,39,blank,incongRight,0,1,0.582875
1,2,0,40,centre,incongRight,0,1,0.639775
1,2,0,41,lower,incongLeft,180,1,0.47488
1,2,0,42,upper,incongRight,0,1,0.446545
1,2,0,43,centre,incongLeft,180,1,0.63797
1,2,0,44,lower,incongRight,180,1,0.619225
1,2,0,45,blank,incongLeft,0,1,0.679115
1,2,0,46,blank,incongLeft,0,1,0.583375
1,2,0,47,centre,incongLeft,0,1,0.527245
1,2,0,48,blank,incongRight,0,1,0.90122
1,3,4,1,centre,incongLeft,180,1,0.585615
1,3,4,2,upper,congLeft,0,1,0.301615
1,3,4,3,blank,congRight,180,1,0.500035
1,3,4,4,centre,incongLeft,180,1,0.513835
1,3,4,5,lower,congRight,180,1,0.45878
1,3,4,6,blank,congRight,180,1,0.507775
1,3,4,7,blank,incongRight,0,1,0.55088
1,3,4,8,lower,incongLeft,180,1,0.483625
1,3,4,9,blank,congRight,0,1,0.48565
1,3,4,10,lower,incongRight,180,1,0.430005
1,3,4,11,upper,incongLeft,0,1,0.521595
1,3,4,12,centre,congRight,0,1,0.472425
1,3,4,13,centre,incongLeft,0,1,0.595745
1,3,4,14,centre,incongRight,0,1,0.61311
1,3,4,15,blank,congLeft,0,1,0.53599
1,3,4,16,blank,incongLeft,180,1,0.6994
1,3,4,17,blank,incongLeft,180,1,0.63721
1,3,4,18,centre,incongRight,180,1,0.596065
1,3,4,19,centre,congLeft,180,1,0.496085
1,3,4,20,lower,congRight,180,1,0.41118
1,3,4,21,centre,incongLeft,0,1,0.55236
1,3,4,22,centre,congLeft,0,1,0.361465
1,3,4,23,blank,congLeft,0,1,0.455625
1,3,4,24,blank,incongRight,180,1,0.66185
1,3,4,25,blank,congLeft,180,1,0.38
1,3,4,26,lower,incongLeft,180,0,0.31302
1,3,4,27,lower,congLeft,180,1,0.335515
1,3,4,28,upper,incongRight,0,1,0.435815
1,3,4,29,upper,incongLeft,0,1,0.402915
1,3,4,30,blank,incongRight,180,1,0.64597
1,3,4,31,blank,incongRight,0,0,0.443685
1,3,4,32,blank,congRight,0,1,0.43784
1,3,4,33,centre,congRight,180,1,0.51882
1,3,4,34,upper,congRight,0,1,0.36343
1,3,4,35,upper,congRight,0,1,0.330115
1,3,4,36,lower,incongRight,180,1,0.46577
1,3,4,37,centre,congRight,180,1,0.39517
1,3,4,38,blank,incongLeft,0,1,0.62914
1,3,4,39,upper,congLeft,0,1,0.34646
1,3,4,40,centre,congLeft,180,1,0.432875
1,3,4,41,blank,congLeft,180,1,0.42968
1,3,4,42,blank,incongLeft,0,1,0.613085
1,3,4,43,centre,incongRight,180,1,0.536505
1,3,4,44,centre,congLeft,0,1,0.3628
1,3,4,45,centre,congRight,0,1,0.38085
